Animal_Group,Animal_Type,Animal_Harvest_Litres,Animal_Diseases_Management,Disease_Type,Disease_Treatment
Bull,Meat,29.17631703565087,False,None,Segregation
Bull,Dairy,14.819844395233584,False,None,None
Bull,Dairy,,False,None,None
Bull,Dairy,,True,None,Segregation
Cow,Dairy,,True,Bovine Respiratory Disease,Segregation
Cow,Meat,,False,Foot-and-Mouth Disease,Segregation
Cow,Dairy,16.455866259820844,False,Foot-and-Mouth Disease,Vaccination
Bull,Dairy,24.533721015360157,True,None,None
Bull,Dairy,,False,Mastitis,None
Bull,Dairy,,False,None,Vaccination
Cow,Dairy,,True,None,Vaccination
Bull,Dairy,,False,Foot-and-Mouth Disease,None
Bull,Dairy,,True,Bovine Respiratory Disease,Segregation
Bull,Dairy,,True,None,None
Cow,Meat,,False,Mastitis,None
Bull,Dairy,,True,None,None
Cow,Meat,,False,None,None
Bull,Dairy,6.151418354748909,True,Mastitis,None
Cow,Dairy,,False,None,None
Cow,Dairy,9.447203101225586,False,Foot-and-Mouth Disease,None
Cow,Dairy,17.867090428035972,False,Bovine Respiratory Disease,None
Bull,Meat,,True,None,None
Bull,Dairy,,True,None,Segregation
Cow,Dairy,11.145185982653825,False,Mastitis,None
Cow,Meat,15.069109961556297,True,None,None
Bull,Meat,,False,None,Vaccination
Bull,Dairy,5.011069535930197,False,Bovine Respiratory Disease,Segregation
Cow,Meat,,True,Bovine Respiratory Disease,Vaccination
Bull,Meat,,False,None,Segregation
Bull,Meat,,True,Mastitis,None
Bull,Dairy,28.871174825961702,False,None,Segregation
Bull,Dairy,17.366879739782085,True,None,None
Cow,Dairy,,False,Bovine Respiratory Disease,Segregation
Bull,Meat,17.038733506896357,False,Foot-and-Mouth Disease,Segregation
Bull,Dairy,20.886091141488066,True,Mastitis,None
Cow,Meat,7.268042555873276,False,Mastitis,None
Cow,Dairy,5.815448708539162,False,None,Vaccination
Bull,Dairy,6.442573210397471,True,Bovine Respiratory Disease,None
Bull,Meat,16.109133731037858,False,None,None
Bull,Dairy,11.888698480487085,True,None,None
Bull,Meat,,False,None,None
Cow,Meat,29.811057234369475,True,Mastitis,None
Cow,Dairy,14.658079326911647,False,None,None
Cow,Meat,19.346031352612833,False,None,None
Bull,Dairy,15.390097397683387,False,Mastitis,None
Bull,Dairy,26.181791693046485,True,None,None
Bull,Meat,27.555910086555954,True,Foot-and-Mouth Disease,None
Bull,Dairy,26.933890305131502,True,Bovine Respiratory Disease,None
Cow,Meat,29.35930596698144,True,None,None
Cow,Dairy,,False,None,None
Bull,Dairy,25.995404053638275,False,None,None
Cow,Dairy,23.794304325977333,True,Mastitis,None
Bull,Dairy,10.71736023500912,True,None,None
Bull,Dairy,28.908002334688188,True,Bovine Respiratory Disease,None
Cow,Meat,,False,Mastitis,None
Bull,Meat,,True,Foot-and-Mouth Disease,Segregation
Bull,Meat,,True,None,None
Cow,Meat,,False,None,None
Bull,Meat,,False,None,Vaccination
Bull,Meat,,True,Mastitis,None
Cow,Dairy,,False,None,None
Bull,Dairy,,True,None,None
Cow,Meat,,False,None,None
Bull,Meat,,True,Bovine Respiratory Disease,None
Cow,Dairy,,True,None,Segregation
Cow,Dairy,,True,None,None
Cow,Dairy,,True,None,None
Bull,Meat,,False,Mastitis,Vaccination
Cow,Meat,,False,Foot-and-Mouth Disease,Segregation
Cow,Meat,,False,Mastitis,Segregation
Cow,Dairy,27.222185600090743,False,Bovine Respiratory Disease,None
Cow,Dairy,,True,Bovine Respiratory Disease,None
Cow,Meat,10.111522151367794,True,None,None
Bull,Meat,,False,Mastitis,None
Bull,Dairy,,False,Bovine Respiratory Disease,None
Bull,Dairy,19.845062020240388,False,None,None
Bull,Dairy,,False,None,None
Bull,Dairy,20.901061719499207,False,None,None
Bull,Meat,14.1088559607058,True,None,None
Bull,Dairy,12.381045062241054,True,None,None
Cow,Dairy,,True,None,None
Bull,Dairy,,False,None,None
Cow,Meat,,False,None,None
Cow,Meat,25.668669200656176,False,Mastitis,None
Bull,Dairy,6.191031435912665,False,None,Vaccination
Cow,Dairy,,True,Bovine Respiratory Disease,None
Cow,Dairy,,True,Bovine Respiratory Disease,None
Cow,Meat,,False,None,None
Cow,Meat,,True,Foot-and-Mouth Disease,Segregation
Bull,Meat,,True,None,None
Bull,Dairy,16.58234133181992,False,None,None
Bull,Meat,6.135082036717314,False,None,Vaccination
Bull,Dairy,12.250729841222647,False,None,Segregation
Bull,Dairy,,False,None,None
Bull,Dairy,14.7955990820875,False,Foot-and-Mouth Disease,None
Bull,Meat,18.66751301391921,False,None,None
Bull,Dairy,18.300541974606297,True,Foot-and-Mouth Disease,None
Bull,Meat,19.760777245567333,True,None,None
Bull,Meat,6.533273891082065,False,Foot-and-Mouth Disease,None
Cow,Dairy,,True,Mastitis,None
Bull,Dairy,23.078206847063854,False,None,None
Cow,Meat,,False,None,None
Cow,Dairy,,False,None,None
Cow,Meat,,False,None,None
Cow,Dairy,,True,None,None
Bull,Meat,,False,None,None
Cow,Meat,6.297523589682726,True,None,Segregation
Bull,Meat,9.777967737400065,False,None,None
Bull,Meat,,False,None,None
Cow,Dairy,,False,None,None
Bull,Dairy,,True,None,Segregation
Cow,Meat,15.398597614546375,False,Mastitis,None
Cow,Meat,,False,None,Segregation
Bull,Dairy,20.240775291422548,False,None,None
Bull,Dairy,,True,None,None
Cow,Dairy,25.450668728467324,True,Foot-and-Mouth Disease,None
Bull,Dairy,,True,None,None
Bull,Dairy,11.785964440855004,False,Mastitis,None
Bull,Dairy,,True,None,None
Cow,Meat,13.424118142936413,False,None,None
Cow,Dairy,29.98859796797736,True,None,None
Bull,Dairy,15.143779215376526,True,Mastitis,None
Bull,Meat,10.51221086722766,False,Bovine Respiratory Disease,None
Bull,Dairy,24.062072111888824,True,Bovine Respiratory Disease,None
Bull,Dairy,18.561775086566403,False,None,None
Bull,Dairy,8.740036238173813,False,Bovine Respiratory Disease,None
Cow,Dairy,,True,Mastitis,None
Bull,Dairy,,False,None,None
Cow,Meat,,False,None,Segregation
Bull,Dairy,,True,Foot-and-Mouth Disease,None
Cow,Meat,,True,Bovine Respiratory Disease,None
Bull,Meat,17.93990753288805,False,None,None
Cow,Dairy,11.721168561321083,True,None,None
Bull,Meat,20.710851185474972,False,None,None
Cow,Dairy,17.046686981865413,False,None,None
Cow,Meat,14.042756371489515,True,None,None
